City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Portland,US,65.28,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
2,Yellowknife,CA,62.56,overcast clouds,62.456,-114.3525,The Explorer Hotel
3,Hithadhoo,MV,81.09,overcast clouds,-0.6,73.0833,Scoop Guest House
7,Gat,IL,84.81,clear sky,31.61,34.7642,OlusHome
8,Arraial Do Cabo,BR,73.09,clear sky,-22.9661,-42.0278,Pousada Porto Praia
10,Rikitea,PF,72.61,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Korla,CN,85.53,clear sky,41.7597,86.1469,Gulisitan Hotel
13,Camocim,BR,88.92,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
14,Lalganj,IN,87.03,light rain,25.8667,85.1833,Ratikul Mallick
15,Cascais,PT,87.26,clear sky,38.6979,-9.4215,Hotel Vila Galé Cascais
17,Nikolskoye,RU,81.81,scattered clouds,59.7035,30.7861,Tourist House - Sablino
18,El Dorado,US,85.64,clear sky,38.7666,-120.5177,South Fork Group Campground
22,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
23,Jamestown,US,82.94,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
26,Vaini,TO,73.08,overcast clouds,-21.2,-175.2,Keleti Beach Resort
28,Bengkulu,ID,75.81,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
29,Nanning,CN,79.45,clear sky,22.8167,108.3167,Nanning Travelling With Hostel
33,Ratnagiri,IN,79.52,overcast clouds,16.9833,73.3,Hotel Landmark
34,Charagua,BO,82.62,clear sky,-19.8,-63.2167,Hotel
35,Hamilton,US,91.22,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
38,Hilo,US,75.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Port Alfred,ZA,65.5,scattered clouds,-33.5906,26.891,The Halyards Hotel
41,Carnarvon,AU,64.74,clear sky,-24.8667,113.6333,Hospitality Carnarvon
44,Castro,BR,74.64,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
45,Asau,RO,80.69,clear sky,46.4333,26.4,Casa Mika Ciobanus
46,Honiara,SB,76.14,scattered clouds,-9.4333,159.95,Heritage Park Hotel
48,Mokolo,CM,77.7,moderate rain,10.7398,13.8019,Diwa Hôtel
50,Campo Verde,BR,89.78,scattered clouds,-20.4167,-54.0667,
55,Sioux Lookout,CA,66.78,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
56,Madison,US,91.09,broken clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
60,Avarua,CK,74.8,overcast clouds,-21.2078,-159.775,Paradise Inn
62,Hambantota,LK,79.57,overcast clouds,6.1241,81.1185,Bungalow 63
63,Lompoc,US,74.93,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
64,Puerto Ayora,EC,72.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Asekeyevo,RU,70.07,overcast clouds,53.5742,52.7972,
66,Mercedes,AR,66.04,clear sky,-34.6515,-59.4307,Posada del Inti Centro
68,Sao Joao Da Barra,BR,74.16,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
70,East London,ZA,69.39,clear sky,-33.0153,27.9116,Tu Casa
71,Shingu,JP,73.58,clear sky,33.7333,135.9833,Shingu UI Hotel
72,Atuona,PF,76.96,clear sky,-9.8,-139.0333,Villa Enata
73,Hudson Bay,CA,67.77,few clouds,52.85,-102.3842,Norwood Motel LTD
74,Monaghan,IE,67.39,overcast clouds,54.25,-6.9667,"Hillgrove Hotel, Leisure & Spa"
75,Gagret,IN,81.73,overcast clouds,31.6667,76.0667,The Hotel Clark Plaza
77,Ilo,PE,64.09,clear sky,-17.6394,-71.3375,Torreblanca Hotel
78,Cayenne,GF,87.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
79,Saint-Joseph,RE,66.2,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
81,Butaritari,KI,80.96,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
82,Ponta Do Sol,PT,82.71,clear sky,32.6667,-17.1,Hotel do Campo
83,Grand Gaube,MU,71.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
84,Tura,IN,75.74,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
85,Tarakan,ID,80.74,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
89,Angoram,PG,73.18,clear sky,-4.0625,144.0661,
90,Kapaa,US,72.12,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
91,Champerico,GT,82.81,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
92,San Jose,US,75.51,clear sky,37.3394,-121.895,The Westin San Jose
97,Souillac,MU,70.11,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
101,Carutapera,BR,88.25,broken clouds,-1.195,-46.02,Lidera
102,Albany,US,91.63,clear sky,42.6001,-73.9662,
103,Port Elizabeth,ZA,62.31,broken clouds,-33.918,25.5701,39 On Nile Guest House
