City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2022-07-22 16:30:07,overcast clouds,-42.8794,147.3294,47.26,89,100,6.85
1,Portland,US,2022-07-22 16:31:08,overcast clouds,45.5234,-122.6762,65.28,79,100,1.99
2,Yellowknife,CA,2022-07-22 16:32:41,overcast clouds,62.456,-114.3525,62.56,59,96,4.0
3,Hithadhoo,MV,2022-07-22 16:32:41,overcast clouds,-0.6,73.0833,81.09,74,100,7.18
4,Mataura,NZ,2022-07-22 16:32:43,few clouds,-46.1927,168.8643,34.48,98,16,2.95
5,Ushuaia,AR,2022-07-22 16:31:21,light rain,-54.8,-68.3,35.58,80,90,17.65
6,Esperance,AU,2022-07-22 16:28:35,broken clouds,-33.8667,121.9,53.38,77,84,12.62
7,Gat,IL,2022-07-22 16:32:43,clear sky,31.61,34.7642,84.81,100,0,9.62
8,Arraial Do Cabo,BR,2022-07-22 16:28:52,clear sky,-22.9661,-42.0278,73.09,75,2,13.76
9,Iqaluit,CA,2022-07-22 16:29:50,broken clouds,63.7506,-68.5145,45.7,81,75,5.01
10,Rikitea,PF,2022-07-22 16:32:44,overcast clouds,-23.1203,-134.9692,72.61,75,99,7.7
11,Korla,CN,2022-07-22 16:31:59,clear sky,41.7597,86.1469,85.53,19,0,4.18
12,Geraldton,AU,2022-07-22 16:32:44,broken clouds,-28.7667,114.6,60.73,67,76,4.36
13,Camocim,BR,2022-07-22 16:32:44,scattered clouds,-2.9022,-40.8411,88.92,51,34,9.6
14,Lalganj,IN,2022-07-22 16:28:39,light rain,25.8667,85.1833,87.03,68,98,12.39
15,Cascais,PT,2022-07-22 16:32:45,clear sky,38.6979,-9.4215,87.26,67,2,22.03
16,Punta Arenas,CL,2022-07-22 16:29:20,few clouds,-53.15,-70.9167,37.11,70,19,20.89
17,Nikolskoye,RU,2022-07-22 16:32:45,scattered clouds,59.7035,30.7861,81.81,54,35,3.2
18,El Dorado,US,2022-07-22 16:32:46,clear sky,38.7666,-120.5177,85.64,16,0,1.01
19,Qasigiannguit,GL,2022-07-22 16:32:46,light rain,68.8193,-51.1922,44.56,94,100,5.53
20,Sorland,NO,2022-07-22 16:32:46,broken clouds,67.667,12.6934,51.85,79,76,22.15
21,Provideniya,RU,2022-07-22 16:32:47,broken clouds,64.3833,-173.3,42.57,80,63,9.28
22,Mahebourg,MU,2022-07-22 16:32:47,light rain,-20.4081,57.7,71.26,76,28,17.65
23,Jamestown,US,2022-07-22 16:32:47,clear sky,42.097,-79.2353,82.94,69,4,5.99
24,Falls Church,US,2022-07-22 16:32:47,few clouds,38.8823,-77.1711,94.06,50,18,3.0
25,Severo-Kurilsk,RU,2022-07-22 16:32:19,overcast clouds,50.6789,156.125,54.45,93,100,3.42
26,Vaini,TO,2022-07-22 16:32:48,overcast clouds,-21.2,-175.2,73.08,74,100,15.05
27,Busselton,AU,2022-07-22 16:32:48,scattered clouds,-33.65,115.3333,58.93,81,29,17.07
28,Bengkulu,ID,2022-07-22 16:32:49,light rain,-3.8004,102.2655,75.81,89,87,4.68
29,Nanning,CN,2022-07-22 16:32:49,clear sky,22.8167,108.3167,79.45,80,5,2.3
30,New Norfolk,AU,2022-07-22 16:32:49,overcast clouds,-42.7826,147.0587,46.9,82,99,1.01
31,Evensk,RU,2022-07-22 16:31:54,clear sky,61.95,159.2333,53.22,48,1,6.06
32,Henties Bay,NA,2022-07-22 16:32:50,clear sky,-22.116,14.2845,60.89,69,0,8.55
33,Ratnagiri,IN,2022-07-22 16:32:50,overcast clouds,16.9833,73.3,79.52,84,100,7.4
34,Charagua,BO,2022-07-22 16:32:50,clear sky,-19.8,-63.2167,82.62,36,2,7.67
35,Hamilton,US,2022-07-22 16:32:51,clear sky,39.1834,-84.5333,91.22,60,1,7.0
36,San Patricio,US,2022-07-22 16:32:13,overcast clouds,28.017,-97.5169,92.16,41,92,14.14
37,Dunedin,NZ,2022-07-22 16:32:32,overcast clouds,-45.8742,170.5036,43.81,74,92,1.01
38,Hilo,US,2022-07-22 16:28:36,scattered clouds,19.7297,-155.09,75.27,100,39,1.99
39,Saskylakh,RU,2022-07-22 16:32:51,overcast clouds,71.9167,114.0833,47.5,73,100,6.64
40,Port Alfred,ZA,2022-07-22 16:32:52,scattered clouds,-33.5906,26.891,65.5,67,49,3.33
41,Carnarvon,AU,2022-07-22 16:29:44,clear sky,-24.8667,113.6333,64.74,64,0,17.25
42,Karasburg,NA,2022-07-22 16:32:52,few clouds,-28.0167,18.75,67.12,22,22,6.38
43,Yarmouth,US,2022-07-22 16:32:52,clear sky,41.7057,-70.2286,92.14,73,2,1.99
44,Castro,BR,2022-07-22 16:28:29,scattered clouds,-24.7911,-50.0119,74.64,40,40,5.88
45,Asau,RO,2022-07-22 16:32:53,clear sky,46.4333,26.4,80.69,42,0,5.55
46,Honiara,SB,2022-07-22 16:32:53,scattered clouds,-9.4333,159.95,76.14,85,39,3.02
47,Tiksi,RU,2022-07-22 16:32:53,broken clouds,71.6872,128.8694,43.27,82,52,5.64
48,Mokolo,CM,2022-07-22 16:33:54,moderate rain,10.7398,13.8019,77.7,73,90,3.58
49,Kingaroy,AU,2022-07-22 16:33:54,overcast clouds,-26.5333,151.8333,53.64,89,88,12.17
50,Campo Verde,BR,2022-07-22 16:33:54,scattered clouds,-20.4167,-54.0667,89.78,20,50,9.04
51,Kungurtug,RU,2022-07-22 16:33:55,overcast clouds,50.5994,97.5228,54.36,75,94,2.82
52,Deputatskiy,RU,2022-07-22 16:33:55,broken clouds,69.3,139.9,45.19,71,71,3.36
53,Cape Town,ZA,2022-07-22 16:29:00,overcast clouds,-33.9258,18.4232,59.34,79,100,4.0
54,Saint George,US,2022-07-22 16:29:35,scattered clouds,37.1041,-113.5841,94.42,21,31,3.0
55,Sioux Lookout,CA,2022-07-22 16:33:56,broken clouds,50.1001,-91.917,66.78,66,57,7.23
56,Madison,US,2022-07-22 16:31:25,broken clouds,34.7334,-86.5667,91.09,70,73,3.0
57,Flinders,AU,2022-07-22 16:33:56,broken clouds,-34.5833,150.8552,52.18,91,70,5.99
58,Bethel,US,2022-07-22 16:33:56,clear sky,41.3712,-73.414,92.35,51,0,5.01
59,Necochea,AR,2022-07-22 16:33:57,overcast clouds,-38.5473,-58.7368,51.64,63,100,4.68
60,Avarua,CK,2022-07-22 16:33:57,overcast clouds,-21.2078,-159.775,74.8,78,96,10.71
61,Lebu,CL,2022-07-22 16:33:57,overcast clouds,-37.6167,-73.65,54.34,96,100,11.07
62,Hambantota,LK,2022-07-22 16:33:57,overcast clouds,6.1241,81.1185,79.57,81,98,19.95
63,Lompoc,US,2022-07-22 16:33:58,clear sky,34.6391,-120.4579,74.93,76,7,11.01
64,Puerto Ayora,EC,2022-07-22 16:33:58,scattered clouds,-0.7393,-90.3518,72.55,83,48,7.0
65,Asekeyevo,RU,2022-07-22 16:33:58,overcast clouds,53.5742,52.7972,70.07,56,94,4.9
66,Mercedes,AR,2022-07-22 16:33:59,clear sky,-34.6515,-59.4307,66.04,45,2,6.55
67,Dikson,RU,2022-07-22 16:33:59,overcast clouds,73.5069,80.5464,53.29,73,100,10.83
68,Sao Joao Da Barra,BR,2022-07-22 16:29:17,clear sky,-21.6403,-41.0511,74.16,73,2,12.57
69,Kodinsk,RU,2022-07-22 16:34:00,overcast clouds,58.6881,99.1844,60.19,84,89,4.43
70,East London,ZA,2022-07-22 16:34:00,clear sky,-33.0153,27.9116,69.39,51,5,8.03
71,Shingu,JP,2022-07-22 16:34:00,clear sky,33.7333,135.9833,73.58,85,0,5.5
72,Atuona,PF,2022-07-22 16:34:01,clear sky,-9.8,-139.0333,76.96,76,2,15.28
73,Hudson Bay,CA,2022-07-22 16:34:01,few clouds,52.85,-102.3842,67.77,50,20,4.63
74,Monaghan,IE,2022-07-22 16:31:45,overcast clouds,54.25,-6.9667,67.39,65,85,4.18
75,Gagret,IN,2022-07-22 16:34:01,overcast clouds,31.6667,76.0667,81.73,77,100,4.23
76,Hermanus,ZA,2022-07-22 16:34:02,overcast clouds,-34.4187,19.2345,56.8,68,92,11.77
77,Ilo,PE,2022-07-22 16:34:02,clear sky,-17.6394,-71.3375,64.09,73,4,10.29
78,Cayenne,GF,2022-07-22 16:34:03,few clouds,4.9333,-52.3333,87.1,31,12,6.78
79,Saint-Joseph,RE,2022-07-22 16:34:03,few clouds,-21.3667,55.6167,66.2,78,22,13.38
80,Batemans Bay,AU,2022-07-22 16:34:03,broken clouds,-35.7167,150.1833,52.11,93,56,4.68
81,Butaritari,KI,2022-07-22 16:34:04,scattered clouds,3.0707,172.7902,80.96,76,30,9.19
82,Ponta Do Sol,PT,2022-07-22 16:34:04,clear sky,32.6667,-17.1,82.71,57,0,3.71
83,Grand Gaube,MU,2022-07-22 16:34:04,scattered clouds,-20.0064,57.6608,71.38,72,45,5.99
84,Tura,IN,2022-07-22 16:34:05,overcast clouds,25.5198,90.2201,75.74,95,100,2.73
85,Tarakan,ID,2022-07-22 16:34:05,broken clouds,3.3,117.6333,80.74,76,65,3.29
86,Petrovsk-Zabaykalskiy,RU,2022-07-22 16:31:24,overcast clouds,51.273,108.843,57.29,96,100,3.11
87,Tuktoyaktuk,CA,2022-07-22 16:34:05,overcast clouds,69.4541,-133.0374,56.37,71,86,6.8
88,Serenje,ZM,2022-07-22 16:34:06,few clouds,-13.2325,30.2352,59.11,60,21,5.35
89,Angoram,PG,2022-07-22 16:34:06,clear sky,-4.0625,144.0661,73.18,98,5,0.83
90,Kapaa,US,2022-07-22 16:34:06,moderate rain,22.0752,-159.319,72.12,94,12,9.89
91,Champerico,GT,2022-07-22 16:34:07,overcast clouds,14.3,-91.9167,82.81,75,86,6.64
92,San Jose,US,2022-07-22 16:33:20,clear sky,37.3394,-121.895,75.51,61,0,1.99
93,Olafsvik,IS,2022-07-22 16:35:07,overcast clouds,64.8945,-23.7142,53.24,83,99,2.15
94,Juneau,US,2022-07-22 16:35:07,overcast clouds,58.3019,-134.4197,55.22,97,99,2.35
95,Qaanaaq,GL,2022-07-22 16:35:08,overcast clouds,77.484,-69.3632,42.19,84,100,11.54
