City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Salalah,OM,7/19/2022 15:00,17.0151,54.0924,77.7,93,100,7.31
1,Atuona,PF,7/19/2022 15:00,-9.8,-139.0333,77.41,62,98,13.15
2,Tanhacu,BR,7/19/2022 15:00,-14.0214,-41.2481,79.81,45,6,8.61
3,Klaksvik,FO,7/19/2022 15:00,62.2266,-6.589,52.72,95,100,12.86
4,Alugan,PH,7/19/2022 15:00,12.2188,125.4808,82.18,81,23,8.81
5,Bambous Virieux,MU,7/19/2022 15:00,-20.3428,57.7575,70.21,69,21,25.01
6,Rikitea,PF,7/19/2022 15:00,-23.1203,-134.9692,73.9,72,2,9.4
7,Sao Filipe,CV,7/19/2022 14:53,14.8961,-24.4956,78.04,82,76,8.14
8,Castro,BR,7/19/2022 15:00,-24.7911,-50.0119,71.91,62,7,3.18
9,Kodiak,US,7/19/2022 15:00,57.79,-152.4072,50.45,88,100,2.21
10,Katowice,PL,7/19/2022 15:00,50.2584,19.0275,88.88,49,8,4
11,Pangody,RU,7/19/2022 15:00,65.85,74.4859,64.94,52,100,12.39
12,Saskylakh,RU,7/19/2022 15:00,71.9167,114.0833,39.94,68,76,14.9
13,Xining,CN,7/19/2022 15:00,36.6167,101.7667,50.68,81,46,3.29
14,Adolfo Lopez Mateos,MX,7/19/2022 15:00,28.4667,-107.3,72.19,50,2,4.21
15,Ushuaia,AR,7/19/2022 15:00,-54.8,-68.3,35.31,91,100,9.28
16,Norman Wells,CA,7/19/2022 14:57,65.282,-126.8329,59.04,82,100,11.5
17,Hermanus,ZA,7/19/2022 14:56,-34.4187,19.2345,60.8,69,61,7.49
18,Byron Bay,AU,7/19/2022 14:58,-28.65,153.6167,53.94,80,98,12.03
19,Booue,GA,7/19/2022 15:00,-0.0921,11.9385,84.54,52,99,5.88
20,Bredasdorp,ZA,7/19/2022 15:00,-34.5322,20.0403,54.48,79,96,4.59
21,Acapulco,MX,7/19/2022 15:00,16.8634,-99.8901,82.99,76,44,2.68
22,Cape Town,ZA,7/19/2022 14:59,-33.9258,18.4232,61.11,65,20,14.97
23,Yellowknife,CA,7/19/2022 15:00,62.456,-114.3525,66.56,72,100,8.3
24,Barrow,US,7/19/2022 15:00,71.2906,-156.7887,39.22,87,0,3.44
25,Rorvik,NO,7/19/2022 15:00,64.8621,11.2373,58.98,83,100,1.45
26,Sawakin,SD,7/19/2022 15:00,19.1059,37.3321,96.49,39,47,9.22
27,Iskateley,RU,7/19/2022 15:00,67.6803,53.1512,71.4,63,100,17.34
28,Ribeira Grande,PT,7/19/2022 15:00,38.5167,-28.7,73.8,94,75,10.36
29,Tuktoyaktuk,CA,7/19/2022 15:01,69.4541,-133.0374,57.2,94,100,4.61
30,Portland,US,7/19/2022 15:00,45.5234,-122.6762,67.41,80,0,5.01
31,Sumenep,ID,7/19/2022 15:01,-7.0167,113.8667,78.67,80,23,11.23
32,Khatanga,RU,7/19/2022 15:01,71.9667,102.5,47.5,51,100,14.18
33,Lavrentiya,RU,7/19/2022 14:56,65.5833,-171,36.46,77,99,6.71
34,Fortuna,US,7/19/2022 15:01,40.5982,-124.1573,53.65,80,45,2.06
35,Saint-Pierre,RE,7/19/2022 14:59,-21.3393,55.4781,71.28,67,75,19.57
36,Vaini,TO,7/19/2022 15:01,-21.2,-175.2,74.34,81,12,23.85
37,Olonets,RU,7/19/2022 15:01,60.9847,32.9698,66.09,56,36,11.34
38,Lebu,CL,7/19/2022 15:01,-37.6167,-73.65,46.63,69,100,2.75
39,Dakar,SN,7/19/2022 14:56,14.6937,-17.4441,90.48,66,40,13.8
40,Quatre Cocos,MU,7/19/2022 15:01,-20.2078,57.7625,70.09,69,30,24.58
41,Noyon,FR,7/19/2022 15:01,49.5833,3,104.65,8,0,11.72
42,Airai,TL,7/19/2022 15:01,-8.9266,125.4092,53.71,86,20,2.28
43,East London,ZA,7/19/2022 15:00,-33.0153,27.9116,69.87,62,63,7.85
44,Calabozo,VE,7/19/2022 15:01,8.9242,-67.4293,84.58,61,27,6.46
45,Coahuayana,MX,7/19/2022 15:01,18.7333,-103.6833,82.92,75,94,2.39
46,Kruisfontein,ZA,7/19/2022 15:02,-34.0033,24.7314,60.89,87,78,15.9
47,Beringovskiy,RU,7/19/2022 15:02,63.05,179.3167,53.11,61,100,11.1
48,Saint-Philippe,RE,7/19/2022 15:02,-21.3585,55.7679,71.19,78,37,20.13
49,Puerto Ayora,EC,7/19/2022 15:02,-0.7393,-90.3518,67.55,99,85,4
50,Cherskiy,RU,7/19/2022 15:01,68.75,161.3,34.56,82,98,12.41
51,Mar Del Plata,AR,7/19/2022 14:58,-38.0023,-57.5575,47.95,73,0,14.97
52,Idrinskoye,RU,7/19/2022 15:02,54.3708,92.1358,53.91,88,94,4.23
53,Upernavik,GL,7/19/2022 14:57,72.7868,-56.1549,45.28,73,100,7.18
54,Esperance,AU,7/19/2022 15:00,-33.8667,121.9,54.45,88,69,13.78
55,Keokuk,US,7/19/2022 15:02,40.3973,-91.3849,83.08,83,0,6.91
56,Sinazongwe,ZM,7/19/2022 15:02,-17.2614,27.4618,74.71,50,64,5.82
57,Sao Gabriel Da Cachoeira,BR,7/19/2022 15:00,-0.1303,-67.0892,81.88,79,67,3.76
58,Ishigaki,JP,7/19/2022 15:02,24.3448,124.1572,85.12,85,100,16.33
59,Mahebourg,MU,7/19/2022 15:01,-20.4081,57.7,70.25,69,15,25.19
60,Nikolskoye,RU,7/19/2022 14:57,59.7035,30.7861,71.87,49,94,7.25
61,Jamestown,US,7/19/2022 14:58,42.097,-79.2353,82.94,67,1,5.99
62,Hobart,AU,7/19/2022 15:00,-42.8794,147.3294,44.46,83,100,4.61
63,Albany,US,7/19/2022 14:59,42.6001,-73.9662,83.57,61,0,3
64,Kavaratti,IN,7/19/2022 15:02,10.5669,72.642,79.86,85,100,21.39
65,Tasiilaq,GL,7/19/2022 15:02,65.6145,-37.6368,37.56,75,24,3.4
66,Jibuti,DJ,7/19/2022 15:02,11.5,42.5,94.64,29,94,13.51
67,Hasaki,JP,7/19/2022 15:02,35.7333,140.8333,79.2,86,100,13.78
68,Vestmannaeyjar,IS,7/19/2022 15:02,63.4427,-20.2734,52.79,93,75,8.05
69,Clyde River,CA,7/19/2022 15:02,70.4692,-68.5914,36.36,96,100,7.61
70,Georgetown,MY,7/19/2022 14:57,5.4112,100.3354,80.89,89,40,2.3
71,Punta Arenas,CL,7/19/2022 15:02,-53.15,-70.9167,37.11,93,43,14.14
72,Bluff,NZ,7/19/2022 15:02,-46.6,168.3333,42.8,73,79,14.23
73,Mataura,NZ,7/19/2022 15:02,-46.1927,168.8643,42.48,91,100,2.48
74,College,US,7/19/2022 15:02,64.8569,-147.8028,52,94,100,1.99
75,Hibbing,US,7/19/2022 15:02,47.4272,-92.9377,79.39,49,40,13.8
76,Sitka,US,7/19/2022 14:57,57.0531,-135.33,53.49,87,100,5.75
77,Lewisporte,CA,7/19/2022 15:02,49.2499,-55.0482,81.23,41,100,0.38
78,Emba,KZ,7/19/2022 15:02,48.8264,58.1442,95.72,26,40,19.64
79,Nouadhibou,MR,7/19/2022 15:02,20.931,-17.0347,67.05,94,26,17.69
80,Chicama,PE,7/19/2022 15:02,-7.8447,-79.1469,68.22,67,82,6.78
81,Cabo San Lucas,MX,7/19/2022 14:53,22.8909,-109.9124,87.62,75,44,6.53
82,Namibe,AO,7/19/2022 15:02,-15.1961,12.1522,66.88,77,19,10.94
83,Waddan,LY,7/19/2022 15:02,29.1614,16.139,95.86,19,0,15.61
84,Katherine,AU,7/19/2022 15:02,-14.4667,132.2667,66.52,63,38,5.75
85,Alofi,NU,7/19/2022 15:02,-19.0595,-169.9187,76.48,74,25,25.88
86,Ibra,OM,7/19/2022 15:02,22.6906,58.5334,85.23,68,43,8.72
87,Naze,JP,7/19/2022 14:56,28.3667,129.4833,79.72,85,100,13.38
88,Dikson,RU,7/19/2022 15:02,73.5069,80.5464,43.9,83,80,15.64
89,Tiksi,RU,7/19/2022 15:02,71.6872,128.8694,33.3,97,100,20.31
90,Pangnirtung,CA,7/19/2022 15:02,66.1451,-65.7125,46.78,83,100,1.95
91,Sioux Lookout,CA,7/19/2022 15:02,50.1001,-91.917,69.44,85,100,7.49
92,Busselton,AU,7/19/2022 15:02,-33.65,115.3333,56.71,78,100,9.98
93,Mustafakemalpasa,TR,7/19/2022 15:02,40.0353,28.4117,81.63,40,0,21.21
94,Durango,MX,7/19/2022 14:59,24.8333,-104.8333,72.3,44,3,4.32
95,Grinnell,US,7/19/2022 14:58,41.743,-92.7224,81.01,69,0,13.8
96,Avarua,CK,7/19/2022 15:03,-21.2078,-159.775,71.65,73,40,4.61
97,Saint Stephen,GB,7/19/2022 15:03,50.3333,-4.9,82.15,73,0,14.97
98,Touros,BR,7/19/2022 15:03,-5.1989,-35.4608,81.54,68,59,17.78
99,Preobrazheniye,RU,7/19/2022 15:03,42.9019,133.9064,64.62,97,55,1.9
100,Kawalu,ID,7/19/2022 14:57,-7.3817,108.2082,72.25,97,72,1.81
101,Anchorage,US,7/19/2022 15:01,61.2181,-149.9003,57.58,83,100,15.01
102,Carnarvon,AU,7/19/2022 15:03,-24.8667,113.6333,66.51,68,0,16.02
103,Richards Bay,ZA,7/19/2022 15:03,-28.783,32.0377,78.42,41,0,12.84
104,Severo-Kurilsk,RU,7/19/2022 15:02,50.6789,156.125,51.6,94,75,10.71
105,Paka,MY,7/19/2022 15:03,4.6374,103.4368,79.68,85,100,3.29
106,Dmitriyevka,RU,7/19/2022 15:03,54.75,55.3333,78.35,73,99,13.96
107,Belogorsk,RU,7/19/2022 15:03,50.9158,128.4611,63.23,93,100,5.12
108,Impfondo,CG,7/19/2022 15:03,1.6381,18.0667,73.62,89,92,5.19
109,Fukue,JP,7/19/2022 15:03,32.6881,128.8419,78.51,89,100,5.84
110,Narsaq,GL,7/19/2022 15:03,60.9167,-46.05,48.42,77,100,3.38
111,Provideniya,RU,7/19/2022 15:03,64.3833,-173.3,40.69,63,100,3.94
112,Srednekolymsk,RU,7/19/2022 15:03,67.45,153.6833,39.96,60,76,8.43
113,Hilo,US,7/19/2022 15:03,19.7297,-155.09,72.28,91,75,5.75
114,Banikoara,BJ,7/19/2022 15:03,11.2985,2.4386,78.69,78,97,5.79
115,Lagoa,PT,7/19/2022 15:03,39.05,-27.9833,69.35,91,100,14.88
116,Pacific Grove,US,7/19/2022 15:03,36.6177,-121.9166,57.31,95,100,10
117,Oudtshoorn,ZA,7/19/2022 15:03,-33.5907,22.2014,50.36,93,98,7
118,Rawson,AR,7/19/2022 15:00,-43.3002,-65.1023,52.09,25,0,16.11
119,Umm Kaddadah,SD,7/19/2022 15:03,13.6017,26.6876,92.48,35,34,10.36
